'blue chip' share	蓝筹股
set free	释放；解放
set in motion	使某事开始
set loose	出发；开始
set of something	一组；一套；一副
set off	使……爆炸，使爆炸；引发，使（炸弹等）爆炸，出发，动身，出发；动身，出发；动身；使爆炸，出发；启程，动身；出发
set off firecrackers	燃放鞭炮
set one's goal for life	确定生活目标
set one's standard	提出……标准，制定……标准
set out	出发，动身，出发，启程，出发，开始，启程，出发；启程，开始做；着手进行，陈述；阐明
set out to	打算，着手
set out to do	开始做
set sail	启航，起航
set the mountain on fire	放火烧山
set the pace	定速度；领先；起领头作用
set the table	摆放桌子，摆放餐具，摆桌子
set up	创立，建立，创设；建立，建立，创建；设置，建立，建造，建立；创立，建立；设立，建起，设立，建起；设立，建造，开办；设立；创办；建立，设立，建立，设立；建立
set(a play, novel, etc.) in	设置（戏剧、小说等的）背景
set-up	组织，结构
set...free	释放，释放……，释放；使……变得自由
setback	n. 挫折，障碍
setting	背景 n. (戏剧、小说等的)情节背景；环境，环境，环境，背景，安置，环境，背景，布景，背景，（小说、戏剧、电影的）背景，（戏剧、小说等的）情节背景；场景；环境
settle	v. 解决 vi. 定居 vt.
settle down	安顿下来，定居；平静下来；专心于
settle in	（迁入新居、更换工作后）安顿下来
settlement	n. 定居点；定居；（问题的）解决，殖民，拓居，移民，定居；解决，（新）定居地
settler	移民者；殖民者 n. 移民；殖民者，移居者，定居者，移民，移民，殖民者，移民；定居者
seven	7，七，七；七个（的） num. —七，七
seventeen	17，十七，十七；十七个（的） num. 十七
seventeenth	第十七
seventh	第七 num. 第七
seventy	70，七十 num. 七十
several	adj. 几个；一些 dat.&pron. 几个，数个 det. 几个；一些 det.&pron. 几个，数个 pron. 几个；数个；一些，三个以上；一些
severe	adj. 严重的；严厉的，严重的；严厉的，严格的；艰巨的，严重的；严峻的，严重的；剧烈的；严厉的，极为恶劣的；十分严重的，艰难的，艰巨的
severely	adv. 严重地
sew	(sewed, sewn/sewed)vt.&vi.缝；做针线活 v. 缝，缝，做针线活，缝；缝制；缝补 vi.  vt. 缝，缝制
sewage	n. （经下水道排出的）污物
sewed	sew的过去式
sewing	n. 缝纫，缝制品
sewing machine	缝纫机
sex	n. 性；性别，性别，性，性别
sextant	n. 六分仪
sexual	adj. 性的；性别的
sh	嘘
shabby	adj. 低劣的；肮脏破烂的，破旧的，破烂的，破旧的，破败的；衣衫褴褛的，破旧的，褴褛的，破旧的；寒酸的，破旧的；褴褛的，肮脏破旧的，衣衫褴褛的；破旧的
shade	n. 树阴；阴凉处，荫；阴凉处，阴凉处，阴凉处，树荫处，阴凉处；背阴；树阴，（图画等中的）阴影；阴暗部分，（色彩的）浓淡；阴影 vt.
shades of	痕迹，影子，遗风
shadow	影子，阴影；影子 n. 阴影；影子，影子，阴影，暗处，阴影，阴影，影子，阴影，影子；阴暗处 v. 遮蔽；使朦胧
shadowy	adj. 有阴影的
shaft	n. 矿井，竖井，通风井
shake	摇动，摇摆（过去式shook） n. 摇动，震动 n.&v. (shook)摇动；抖动，摇动；抖动 v. (shook)摇晃，摇动，抖动，摇动，（使）颤动；抖（掉），（shook/shaken）摇动；抖动 vi.&vt. 摇动，震动
shake hands	握手
shake one's head	摇头
shake out	抖出；打开
shake sb's hand	与某人握手
shaking	n. 摇动，震动
shaky	adj. 不稳固的，不结实的
shall	modal v.……好吗？要不要……？，modal v.将要；将会，modal v.将，将会，modal v.（表示提出或征求建议），……好吗（表示提出或征求意见），将要，将，会（表示将来），（表示提出或征求意见），表示征求意见，该，要 v. aux.……好吗？要不要……？，aux.将；会
shallow	adj. 浅的，浅的，薄的，浅的；肤浅的；浅显的，肤浅的，浅薄的；浅的
shallowness	n. 肤浅，浅薄
sham	adj. 虚假的
shame	n. 令人惋惜的事；让人遗憾的事，令人遗憾的事；羞耻，羞愧，可惜；遗憾，憾事；羞愧，羞愧；惭愧，羞耻，惭愧，羞耻，羞愧，羞耻；羞愧；惭愧 v. 使蒙羞，玷污 vt. 使羞愧/丢脸
shameful	adj. 可耻的；丢脸的
shampoo	n. 洗发精，洗发香波 v.
shape	形快，形成 n. 外形；形状，形状，形状，外形，形状；外形，样子；形状，状况；形状 v. 形成，影响，塑造 vt. 使成形，塑造，造成……形状
share	分享，股份 n. 共享，一份 v. 共用；分享，分享，分享，共享，分享，共用，分享；共享；共用；分摊，分享；共有；有相同之处，分享；合用，告诉；分享，把自己的想法（或经历、感情）告诉（某人） vi.&vt. 共享；分享 vt. 合用；分享
share feelings and ideas with	与……分享感受与想法
share in	分享
share sth with sb.	与某人合用／分享某物
share sth. with sb.	和某人一起分享某事/物
shared	adj. 共享的
shareware	共享软件
shark	鲨鱼 n. 鲨鱼
sharp	锋利的，锋利的，尖的，锋利的；尖的，锐利的；尖利的 adj. 尖锐的，急剧的；锋利的，急转的；锋利的，敏锐的，伶俐的，机警的，敏锐的；灵敏的，敏锐的；锋利的，尖的，锋利的；尖的，锋利的；急剧的；灵敏的；尖锐的，严厉的，锋利的；锐利的，锐利的；锋利的；敏捷的 adv. 整点
sharpen	v. 使变锋利 vi.&vt. （使）锋利；尖锐；清晰 vt. 削尖 vt.&vi. 提高，改善；（使）变锋利
sharpener	n. 卷笔刀，磨器，磨具，磨具；削具
sharply	adv. 急剧地，急剧地；猛烈地
shattered	adj. 感到震惊的，难过的，心烦意乱的
shave	n.  v.&n. 刮胡子 vi.&vt. 剃发 vt. 剃，刮，剃；刮 vt.&vi. (shaved; shaved, shaven)刮；剃，剃；刮
shaver	n. 剃须刀；电动剃须刀，理发师；电动剃刀，电动剃刀，电动剃须刀，（口）小伙子；电动剃须刀
shawl	n. 披肩，围巾，披肩
she	她，她（她是）(she's=she is)，（she's=she is）她（她是） pron. 她
she's	(she is)她是，she is，她……，她……(=she has)，她是，她是（=she is）
shearer	n. 剪羊毛工人
shed	n. 棚；小屋，棚；工棚 v. 使落下 vt. 脱落，脱皮，摆脱
shed a tear/shed tears	流泪
sheep	绵羊，绵羊（复数sheep），羊，羊，绵羊，羊；绵羊，（sheep的复数形式）绵羊 n. (pl.sheep)（绵）羊；驯服者，绵羊（单复数一样），羊；绵羊
sheepdog	n. 牧羊犬
sheer	adj. 垂直的；陡峭的
sheet	n. 一大片；一张；床单，片；张；薄片；被单，（一）张，（一）片，（一）张，床单，被单
shelf	(pl.shelves) n.架子，架子 n. (pl. shelves)（橱柜或书架等的）架子，搁板，架子，架子；搁板，隔板；架子
shell	贝壳 n. 壳，壳，贝壳，炮弹 vt.
shellfish	n. 有壳水生动物，甲壳类水生动物（如螃蟹、牡蛎等），水生贝壳类动物，水生有壳动物
shelter	n. 住所；藏身之处，庇护物，遮蔽物，收容所；遮蔽物，遮蔽物；庇护处，遮蔽，庇护所，避难所，掩蔽；掩蔽处；避身处，遮蔽物；栖身之地 vi. 躲避
shepherd	n. 牧羊人
sheriff	n. 郡长；行政司法长官
shh	嘘
shield	vt. 保护，防御
shift	n.  v.  vt.&vi.
shift for oneself	独立谋生
shift out	移出
shift...with...	把……与……对调
shilling	n. 先令（1971年以前的英国货币单位，旧币的12便士）
shine	照耀，（太阳）发光，照耀，（阳光）照耀，照亮，发亮 n. 光亮，光泽 v. (shone)发光；照耀，(shone，shone; shined，shined)照耀，发光，照耀，照耀，（shone/shone）发光；反身 vi. 照耀，发光
shine on	（使）照射在……上
shiny	闪亮的 adj. 光亮的；反光的
ship	船，船，轮船，船；舰，轮船，海船，大船，（大）船 n. 船，（大）船，舰 vt. 装上船，航运
shipment	n. 装船；装运
shipping	n. 海运，船运
shipyard	n. 造（修）船厂；船坞
shirt	衬衣，衬衫，（尤指男式的）衬衫，（男式）衬衫，衬杉，（尤指男士）衬衫 n. 球衣；（男式）衬衫，衬衫，（尤指男式）衬衫
shirt pocket	衬衣口袋
shiver	vi. 战栗，发抖
shock	n. 震动；撞击；震惊，震惊 n.&v. 震惊，震动；感到震惊 v.  vt. 使震动，震惊，震惊，惊骇 vt.&vi.
shocked	adj. 惊愕的，惊愕的；受震惊的，（感到）震惊的，惊骇的
shocking	adj. 令人气愤的；令人震惊的
shoe	鞋，鞋子 n. 鞋，鞋，鞋子
shoelace	鞋带 n. 鞋带
shoes	鞋，鞋子，鞋子（复数）
shoot	射门，投（篮），射（门） n. 竹笋，芽，苗，嫩枝 v. (shot)射击；发射，开（枪或其他武器），射击，拍摄（电影、照片、录像等），（过去式shot）（朝某个方向）射，冲，飞驰 vt. 射中；射伤 (shot, shot)，(shot, shot)射杀 vt.&vi. 射击
shoot out	射出
shoot up	上冒，喷出；猛跳；高耸；涨价
shop	商店，商店；购物，购物，去买东西；购物 n. 商店，手工艺课 v. 逛商店；购物 vi. 购物
shop assistant	营业员
shopkeeper	n. 店主，店主，售货员，（小商店）店主，店主，店东
shoplifting	n. 在商店盗窃，逛商店时偷窃商品的行为
shopper	n. 购物者；顾客
shopping	购物 n. 购物
shopping bag	购物袋
shopping cart	购物手推车
shopping centre	购物中心
shopping list	购物单
shopping mall	购物商场，购物广场，（有屋顶的）大型购物商场，大型综合商业中心
shore	n. （海洋、湖泊等大水域的）岸，滨，岸边，岸；海滨，（海、湖、河等的）岸
short	短的，短的；矮的，矮的，矮的；短的，矮的；短的(shorter/shortest)，短的，矮的，短，短的，矮的，短的，短暂的，短期的 adj. 个子矮的；短的，短的；短暂的；矮的，短的；矮的
short cut	捷径
short race	短跑
short-term	adj. 短期的，短期的，近期的
shortage	n. 不足；缺少，不足；缺少；短缺，缺乏，匮乏
shortcoming	n. 缺点，短处，缺点；短处，缺点
shortcut	快捷方式 n. 捷径；近路
shorten	vi.&vt. 缩短，（使）变短 vt. 缩短 vt.&vi. （使）缩短，缩短；使变短
shorter	更矮的，比较短的，（short的比较级）更矮的；更短的
shortest	最短的，最矮的
shortly	adv. 不久，很快，不久；很快，立刻；不久 v. 不久，很快
shorts	短裤，短裤（复数），（常复）短裤 n. (pl.)短裤，[用复数]短裤，短裤
shot	（shoot的过去式）投（篮），射（门） n. 射击；枪炮声，射击，开枪，射门，击球；射击；药物注射，照片，相片，（电影、电视或照片的）镜头
shot-put	n. 铅球（运动）
should	modal v.应当，应该，modal v.应该，modal v.应该；应当；可以，应当，应该，应该，应该，应当，（常用于纠正别人）应该，应当 modalv. 应该；应当；可以 v. aux.应该，aux.应该；将要，应该，应当
shoulder	肩，肩膀，肩，肩膀 n. 肩膀，肩，肩膀，肩；肩膀
shouldn't	should not，不应该(should not)，不应该（=should not），不应该
shout	呼喊，呼喊，大叫，喊；叫，大声说，喊叫，呼喊，喊叫 n. 呼喊，喊叫声 v. 呼叫，呼喊，呼叫；喊叫，喊，高声说；大声喊 v.&n. 呼喊 vt.&vi. 大声说，叫，嚷
shout at sb.	斥责某人；对某人大声说
shout at...	冲……大声叫嚷
shout to...	对……大声喊叫
shove	v. 推 vt. 推挤，猛推
shovel	铲子 n. 铲；铁锹
show	出示；显示；给……看，展示，展示；给……看，展览，展览，展示，带领，指引，把……给（某人）看，给……看，表演，表演；展览，（尤指剧院的）演出，表演，（电视或广播）节目，指引，演出，给人看，给（某人）看，演出，表演 n. 演出，秀 v. 引领；带领，指示；带路 vt. 引，带，领，教；演示；展示
show off	炫耀，炫耀，卖弄，炫耀，夸耀，炫耀；卖弄；使显眼
show sb. around	带某人参观；给某人做向导，领某人参观
show signs of	显示……迹象
show somebody around	带某人参观、游览
show somebody up	（在能力、表现等方面）超过；使难堪
show up	出现，现身，到场，露面，现身；出现，赶到；露面，露出，露面，出现，露面，露面；出席
show...around	带领……参观，带……参观，带领……参观……
show...in	带或领……进来
showcase	v. 展示（才能或优良品质）
shower	淋浴，淋浴喷头 n. 淋浴，淋浴器；淋浴，淋浴；淋浴器，阵雨，阵雨；淋浴，阵雨；阵雪 n.&v. 淋浴
shrewd	adj. 精明的，机敏的
shrimp	n. 小虾
shrink	( shrank/shrunk, shrunk) vi.&vt.（使）收缩；皱缩；缩短，(shrank/shrunk, shrunk) vi.&vt.退缩；缩水；（使）缩小 v. 变小，减少 vi. （使）收缩，缩小 vt.&vi. (shrank, shrunk; shrunk)收缩；（使）皱缩；缩短
shrink from doing something	回避（困难等）
shrug	v. 耸肩
shudder	n. 战栗，发抖 v. （因感到寒冷或恐惧而）战栗，发抖
shun	vt. 规避；避免
shut	v. (shut, shut) 关闭；关上，(shut, shut)关闭；关上，(shut， shut)关上；合上，关闭，关上，（shut/shut）关上；合上 vt. 关上，封闭；合拢
shut down	关闭；歇业
shut off	停止，关掉，关掉，切断，关闭；停止运转
shut sb./sth. out	关（在外面）；把某人排除在外
shut up	关闭；闭嘴
shut up somebody	把某人隔离
shut...up	住口；关闭
shutter	挡板
shuttle	n. 往返汽车；航天飞机，来往于两地间的火车、班车或航班，航天飞机，航天飞机；（织机的）梭 vi.&vt.
shy	害羞的，羞怯的，胆怯的，腼腆的，羞怯的；腼腆的；怕生的 adj. 害羞的，害羞的；羞怯的，羞怯的，腼腆的，羞怯的；腼腆的
shyly	adv. 害羞地；羞怯地；胆怯地，羞怯地
shyness	n. 害羞；腼腆
sick	不适的；生病的，有病的，生病的，病的，病的；有病的 adj. 想呕吐的；生病的，生病的，有病的，生病的；恶心的，生病的；有病的，病的；生病的，（感觉）不适的，生病的 n.
sickly	adj. 多病的；病态的
sickness	n. 疾病；恶心，生病，疾病，呕吐，疾病；恶心，呕吐，疾病
side	边，侧，边 n. 一方（的意见、态度、立场），一边，一侧；一旁，侧面，侧面，侧，边，边缘；一边，一侧，边；侧边，（物体或形状的）侧面
side by side	并排地；肩并肩地，并排，并肩，肩并肩地
side effect	n. 副作用
side road	旁路；支线；岔道（<美>sidewalk） n. 小路，支路
sideboard	n. 餐具柜
sideroad	n. 旁路，旁侧路
sidewalk	人行道 n. 人行道，（美）人行道
sideways	adv向一边，向一侧 adj.  adv. 往（向、从）一侧；侧着；侧面朝前，横着地；斜着地，（斜）向一边；向旁边
sigh	n. 叹息，叹气 v. 叹气，叹息，叹气；叹息 vi. 叹息，叹气，叹气
sight	n. 名胜；观光地，景物，景象，奇观，视力 pl.  v. 看到；发现
sighting	n. （珍奇动物等的）目击；发现
sights	n. [复]名胜，风景，[用复数]风景；名胜
sightseeing	n. 观光，游览，观光；游览
sign	标志，标志，指示牌，标记，标识 n. 手势；符号，手势；迹象，招牌；标牌，招牌；记号，指示牌，指示牌；符号，标志；信号，符号，标志；迹象，迹象；征兆，迹象；标志；招牌，牌示；标记；符号 v. 签名，签署（合同等） vi.&vt.  vt. 签署，签字；签署
sign language	手势语
sign of...	……征兆
sign the treaty	签署合/条约，签订条约
sign up	注册
sign-off	n. 结束写信；结束广播节目
signal	n. 信号，信号，暗号，信号；暗号 v. 表示 vi.&vt. 发信号，作手势
signatory	n. （正式协定的）签署者，缔约组织
signature	n. 署名；签字，签名，签名，签字，签名；署名；信号
significance	n. 意义；含义，意义；重要性，意义；重要性；意思，重要性，意义，重要性；意义，重要性；重要，意义；意思；重要性；重要意义
significant	adj. 重大的；有意义的
signify	v. 表示，表明
signpost	v. 清楚地表明
silence	n. 安静，寂静；沉默，安静；沉默，寂静，无声，沉默；寂静，沉默；无声状态，沉默；缄默，沉默；缄默；无声 v.
silent	adj. 不说话的，沉默的，不说话的；沉默的，寂静的，小说话的；沉默的，沉默的；安静的，沉默的；寂静的
silent film	n. 无声电影
silk	丝绸，丝：丝织品 n. 丝织物；丝绸，丝绸，丝绸；丝织物，丝绸；蚕丝，丝；丝绸，（蚕）丝，丝织品，（蚕）丝；丝绸
silk worm	蚕
silkworm	蚕
silly	愚蠢的 adj. 傻的；愚蠢的，可笑的，愚蠢的，愚蠢的，傻的，愚蠢的；不明事理的，愚蠢的；傻气的，愚蠢的；傻的，蠢的，傻的；可笑的
silver	adj. 银灰色的；银制的，银色的；银白色的 adj.&n. 银（的） n. 银；银牌 vt.
silversmith	n. 银（器）匠
similar	adj. 同样的，类似的，相似的，相像的，类似的，相像的；相仿的；类似的，相像的；类似的，类似的，相像的
similar to	与……相似；类似于……
similarity	n. 相似点，相似点，相像处；相似性，类似；相似，相似性，类似性，相像性；相似点
similarly	adv. 同样地，相似地，同样地，类似地
simile	n. 明喻
simple	简单的 adj. 简单的，简单的，简易的，简单的；单纯的，简单的；容易的，简单的；易做的，简单的；简明的
simplicity	n. 朴素，简朴，简单，简易，朴素，简单，简易，朴素，直率，简单；简易；朴素；直率
simplify	v. 使简化，使简易 vt. 使简易，简明，简化，单一化；简单化，简化，简化；使简明
simply	adv. 简单地；只，仅仅，仅仅，只是；简单地，仅仅；只是；简单地，仅仅；只；不过，仅仅；简直，仅；只，只是，实在；的确 v. 仅仅，只不过
sin	n. 罪，罪恶
since	conj. 由于，既然，自……以来 conj.&adv.  prep. 从……以后；自……以来，自……以来 prep.&conj.
since then	从那以后，自那以来，自那时以来
sincere	adj. 真诚的，真诚的，诚挚的，诚恳的，诚挚的，衷心的
sincerely	adv. 真挚地，真诚地，真诚地，真诚地；真挚地，真诚地；诚实地，诚挚地，真实地
sinew	n. 力量，力气
sing	唱歌，唱，唱歌，唱；演唱，唱，唱；唱歌 v. 唱歌，唱歌，演唱，唱，唱歌
sing English songs	唱英文歌曲
sing of...	歌颂……
sing songs	唱歌
singer	歌手，歌手，歌唱家 n. 歌唱家，歌唱家，歌手，歌手，歌手，歌唱家，歌手；歌唱家
singing	唱歌，正在唱歌
single	adj. 仅一个的；单个的，仅有一个的；单个的，单一的，单个的，单一的；单独的，单身的，单身的；单个的 n. 单程票
single user/multitasking	单用户多任务
single user/single tasking	单用户单任务
singledom	n. 单身状态
singular	adj. 单数的
singular pronoun	单数代词
sink	水池，洗涤槽 n. 水槽；水池 v. 下沉 vi. (sank, sunk; sunk, sunken)下沉；沉下，下沉；沉没
sinkable	adj. 会沉没的
sip	n. 一抿之量；小口喝 vi. 吸吮
sir	先生，（对男子的礼貌称呼）先生 n. 先生，先生（用于正式信函中对不知名的男性收信人的称呼时，写为Sir），先生；老师，先生；长官
sister	姐妹，姐姐；妹妹，姐，妹，姐；妹 n. 姐，妹，姐；妹
sit	坐，坐，坐在 v. 坐
sit around	无所事事地消磨时间；闲坐，闲坐着
sit back	向后靠着坐；袖手旁观；放松
sit down	坐下，坐下，就坐
sit down to...	坐下来从事；开始进行……
sit up	坐直，坐起来；坐直
sit-up	仰卧起坐 n. 仰卧起坐
sitcom	n. (=situation comedy)情境喜剧，(=situation comedy)情景喜剧
site	n. 位置；地点；场所，地点；场所；遗址，地点；现场；网站，场所；遗址，建筑工地，地方；地点；现场，（事物或事件发生）场所，位置
situate	使坐落，使处于 vt. 使位于，使处于，使位于；使处于
situated	adj. 坐落（某处）的；位于（某处）的
situation	n. 形势，情况，形势；情况，情况；形势；位置，情况；状况，状况；形势，状况；形势；局面
six	6，六，六；六个（的） num. 六
sixteen	16，十六，十六；十六个（的） num. 十六
sixteenth	第十六
sixth	第六 num. 第六
sixty	60，六十 num. 六十
size	尺寸，尺码，尺码，号，尺码；号 n. 大小，大小，尺寸，大小；尺码，尺寸，大小，尺寸；大小，尺码；号，尺码；大小
size up	判断；估计
skate	冰鞋，溜冰，溜冰，滑冰，溜冰；滑冰，滑冰 n.  v. 溜冰，滑冰，溜冰，滑冰；滑（滑板），滑冰 vi. 溜冰，滑冰
skateboard	滑板 n. 溜冰板，滑板 vi. 用滑板滑行
skateboarding	玩滑板
skater	n. 溜冰者
skating	正在滑冰，滑冰，滑旱冰 n. 溜冰，滑冰
skating rink	滑冰场
skeptical	adj. 怀疑性的，好怀疑的
sketch	n. 诙谐短剧，速写；概述
ski	滑雪 n. 滑雪板 v. 滑雪 vi. 滑雪
ski-jump	n. 跳台滑雪
ski-wear	n. 滑雪衣
skiing	n. 滑雪运动
skilful	adj. 有技巧的；熟练的，有技巧的；熟练的（<美>skillful），灵巧的，熟练的
skill	n. 技巧，技术，技术；技能，技能，技巧，技能：技巧，技能；技巧，技能；技艺，技艺；技巧，技艺；技能
skilled	adj. 有技巧的，熟练的，熟练的
skillful	adj. 灵巧的；熟练的；制作精巧的
skim	撇去 vt. 浏览；略读，浏览；轻轻掠过
skin	果皮 n. 皮肤，皮，皮肤，皮；皮肤，（人或动物的）皮，皮肤 vt. 剥皮；去皮
skinny	adj. 极瘦的
skip	跳绳 v. 跳跃；跳绳 vi. 跳，蹦 vt. 跳过 vt.&vi. 轻快地蹦跳；跳绳，跳过，略过；蹦跳着走
skipping rope	跳绳，跳绳用绳子
skirt	女裙，裙子，短裙，裙子，女裙 n. 女裙，裙子，（女式）短裙
skis	滑雪橇
skull	n. 头颅；颅骨，头脑；头骨
skunk	n. （产于北美的）臭鼬
sky	天空，天，天空 n. 天空，天，天空，天；天空
skyline	n. （建筑物等的）空中轮廓线
skyscraper	n. 摩天大楼，摩天楼
slack	adj. 松弛的；放松的
slacks	n. 宽松长裤，便裤
slam	n. 砰的声音
slam dunk	n. 扣篮
slang	n.  vt.&vi.
slap	v. 掌击；掴 v.&n. （用手掌）打，拍，掴 vt. 拍，掌击，拍击，掌击 vt.&n. 掴，掌击，拍
slap sb. in the face	打某人耳光，侮辱某人
slave	n. 奴隶，完全受……控制的人；奴隶
slavery	n. 奴隶制度，奴隶制度；奴役，奴隶身份；奴隶制，奴隶制
sled	雪橇 n. 雪橇
sledge	n. 雪车，雪橇
sleep	睡眠，睡觉，睡觉；入睡，（sleeping）睡觉 n.  v.  v.&n. 睡觉
sleep in	phr. v.睡过头；迟起床
sleep rough	露宿
sleeper	n. 卧铺列车，（火车）卧铺
sleeping	正在睡觉，（sleep的-ing形式）（正在）睡觉
sleeping bag	睡袋 n. 睡袋
sleepy	困的，困倦的，困的，想睡的，困的；欲睡的 adj. 困倦的，瞌睡的，困倦的；瞌睡的，困的；想睡的，想睡的，困倦的，瞌睡的
sleeve	袖子 n. 衣服袖子，袖子
sleigh	n. 雪橇，雪车，雪橇
slept	sleep的过去式，（sleep的过去式）睡觉
slice	薄片 n. 片；薄片，薄片，切片，薄片；切片，薄片，片 vt.
sliced pork	猪肉片
slid	v. 滑行，滑动
slide	滑，滑梯 n.  v. 滑，滑行，滑落，（使）滑动 vi. 滑动；下滑；快捷而悄声地移动，滑行 vi.&vt.  vt.&vi.
slide away	溜掉
slide into	（快捷而悄声地）移动；溜进……
slide show	幻灯片
slide sorter view	幻灯片浏览
sliding	滑，滑滑梯
slight	adj. 少量的，微小的，少量的；些微的，微不足道的；轻微的；微小的，轻微的，轻微的；微小的
slightly	adv. 少量地；些微地，稍稍；轻微地，轻微地；稍微，轻微地；稍微地
slim	苗条的 adj. 微小的，渺茫的；苗条的，纤细的，苗条的，苗条的，苗条的，修长的，苗条的，纤细的，苗条的，纤细的；单薄的，（机会）少的；苗条的 vi.  vi.&adj. （通过节食、加强运动等）减肥；苗条的
sling	v. 吊，吊挂，悬挂 vt. (slung，slung)挂，吊
sling across one's shoulder	背在肩膀上
sling-shots	n. 弹弓
slip	滑倒 n. 纸条，纸片 v. 滑倒，滑倒，失足，滑落；滑掉 vi. 滑落，滑落；滑离；溜
slip through one's fingers	（机会）被错过
slipper	n. 拖鞋
slippers	拖鞋
slippery	adj. 滑的
slogan	n. 标语；口号，口号，标语，口号；标语，广告语，标语，标语
slope	n. 山坡，斜坡，斜面，斜坡；坡地，斜坡 vt.&vi.
slot	n. （投放或插入东西的）窄缝、扁口
sloth	n. 懒惰，懒散
slow	慢的，慢的；缓慢的 adj. 慢的，慢的；缓慢的，慢的；迟钝的，缓慢的，缓慢的；迟缓的，迟钝的，愚钝的 v.  vi.&vt. (～down)（使）慢下来，（使）减速，减缓 vt. 放慢；减速
slow down	减速，慢下来
slow-witted	adj. 迟钝的；笨的
slowest	最慢的
slowly	慢速地，缓慢地 adv. 慢慢地，慢慢地；迟缓地，慢速地；缓慢地，缓慢地，缓慢地；慢速地
slum	n. （常用复数）贫民区
slurp	v. （喝东西时）发出啧啧的声音
sly	adj. 狡猾的，诡诈的
small	小，小的，小的(smaller/smallest)，小的；少的 adj. 小的，小的；小号的
small computer system interface	小型机系统界面
small talk	闲谈，聊天，闲谈；闲聊
smaller	更小的，比较小的，（small的比较级）更小的
smallest	最小的
smart	聪明的 adj. 光鲜的；漂亮的，智能化的，精明的，智能的；聪明的，漂亮的；整洁的；时髦的，聪敏的，聪明的，聪明的；机敏的，聪明的；机灵的，衣着讲究的；精干的
smarter	（smart的比较级）更聪明的
smartly	adv. 整洁地；得体地；灵敏地，潇洒地；漂亮地
smartphone	智能手机
smash	v. 打碎，打破，打破；打碎，打碎
smell	有……气味，闻起来，闻出，嗅出，闻到，闻起来，闻；嗅，有（发出）……的气味 n. 气味 v. 嗅；闻起来 vt. 嗅，闻到
smell out	嗅出
smelly	adj. 发臭的；有臭味的
smile	微笑，笑容；微笑 n. 微笑 v.  v.&n. 笑；微笑，微笑 vi. 微笑
smile at	一笑置之；对……微笑，对……微笑
smiled	smile的过去式
smiling	微笑的 adj. 微笑的，带着笑意的
smith	n. 工匠，金属品工匠
smock	n. 罩衫，罩衣
smog	n. 烟雾
smoke	吸烟，吸烟，抽烟，烟，烟雾 n. 烟，烟雾 v.  vi.&vt. 吸（烟），抽（烟）
smoked	adj. 烟熏的
smoker	n. 吸烟者，吸烟者；吸烟室，吸烟车（厢）
smoking	吸烟，抽烟
smolder	vi. 闷燃，冒烟
smooth	滑软的 adj. 光滑的，平坦的，光滑的；平滑的；平坦的，平坦的；光滑的，平稳的，平静的，平稳的；平坦的；光滑的，悦耳的；平滑的，无困难的；顺利的；光滑的；平坦的 vt. 使顺利；使光滑，使平坦
smoothly	adv. 平整地；顺利地，平稳地；流畅地；顺利地；光滑地
smoothness	n. 平坦；平滑，平滑；柔滑；平坦
smudge	n.  vt.&vi.
smuggle	v. 走私；偷运
snack	小吃 n. 小吃，小吃，零食，点心，小吃，点心；小吃，点心；小吃；快餐，零食；点心，小吃，快餐
snack bar	快餐店，小吃店
snail	蜗牛 n. 蜗牛
snake	蛇 n. 蛇
snap	v. 崩溃，支持不住，突然折断
snapshot	n. 印象；快照
snatch	vt. 抢，夺，攫取；抢走
sneaker	运动鞋 n. 运动鞋，胶底运动鞋，（美）运动鞋
sneakers	帆布运动鞋，运动鞋
sneeze	n.  v.  vi. 打喷嚏
sniff	v. 嗅；闻，（以鼻）吸气，嗅，闻，（短促有声地）以鼻吸气 vi.&vt. （吸着气）嗅，闻 vt.&vi. 嗅；闻；用鼻子吸
snore	打呼噜
snorkel	使用通气管潜泳 n.  vi.
snow	雪，雪；下雪，下雪 n.  v.
snow-capped	adj. （山）积雪盖顶的
snowball	n. 雪球
snowboarding	n. 单板滑雪
snowflake	n. 雪花
snowman	(pl.snowmen) n.雪人，雪人 n. (pl.snowmen)雪人，雪人
snowrafting	n. 动力雪橇滑降
snowstorm	暴风雪 n. 暴风雪，雪暴，暴风雪
snowy	下雪的，下雪的；多雪的，多雪的，有雪的，下雪（多）的 adj. 下雪多的，下雪的，下雪的；多雪的，多雪的；下雪的，有雪的
so	如此，这么，如此，这样，如此；很；所以，如此；这么，如此；那么，所以，这么，那么，因此，如此，那么；因此，那么 adv. 如此，这么；非常，那么（尤指用于引出新话题）；这么；那么（用于强调质量、感觉或数量），非常；那么；很 conj. 因此，所以，因此；所以，（引出评论或问题）那么
so as to do sth	为了做……
so far	到目前为止，到目前为止；迄今为止，迄今为止，迄今为止，到目前为止
so long	再见
so long as	只要，只要；如果
so many	这么多
so much	十分，非常，非常地
so much for sth	（表示就某事讲完了）关于……就讲这么多，……到此为止
so that	以便，以致于；结果
so to speak	可以说
so-called	adj. 所谓的；人称……的
so-so	adj. 一般，不怎么样，凑合
so...that	如此……以至于
so...that...	如此……以至于……，如此……以致于……
soak	vt. 浸，泡，浸透
soap	肥皂，肥皂剧 n. 肥皂
soap drama	肥皂剧
soap opera	肥皂剧 n. 肥皂剧
